ticker,price,momentum,cap,inv_vola_norm
AMC,36.99,7190.12761575848,41959152.576000005,0.012739482387700373
WIX,302.15,3306.5331965912146,726359.2856,0.0005554451937725694
ACRS,15.73,1721.65726959843,35712.6648,0.0004968029234126901
MVIS,13.83,1382.7744798868423,458004.434,0.00035082255093419246
AMEH,113.15,1083.8890971168858,511899.528,0.012727673415621641
IDEX,2.46,1048.1286616010575,198688.1568,0.006225418986856273
PRTA,52.12,943.3310840801742,134095.4736,0.026216857754904996
VRTV,60.68,787.5499574375749,36259.86,0.04257700037822958
IDT,49.33,725.3903438208445,63022.53839999999,0.020492910226424996
CHS,5.98,686.3631908366564,82409.04000000001,0.020048296050848492
GDEN,45.45,641.5528960433328,52579.28640000001,0.033782414245655874
JYNT,82.69,637.9458355163885,156736.614,0.03230173194292218
BTU,10.93,636.653225872248,805236.2592000001,0.01105425155040676
MDXG,11.82,579.5941390729184,48850.068,0.0021670788800247807
DDS,182.63,531.8852540780873,291857.504,0.036752062321360385
DEN,63.28,471.58582653029055,232446.11519999997,0.03821797201222813
OAS,90.03,463.0820322551263,132830.7552,0.025152443975767005
TMST,12.69,452.69459868003594,62914.966400000005,0.029597069790507607
GNK,17.54,447.0083958590359,71945.99440000001,0.028255158303907277
HMHC,11.66,392.7743116514127,64592.30359999999,0.03981645170048165
AVID,36.9,356.8374062513826,97929.36319999999,0.05361610859431381
IHRT,25.47,322.01775051622985,159791.11680000002,0.06506118649929551
WLL,48.15,320.77087548404495,186628.49520000003,0.033265064074887614
CEIX,18.98,305.9101421079146,35293.720799999996,0.02453003762002429
SOLY,22.09,303.9154514987311,87147.23040000001,0.2181770698646467
MTDR,30.79,280.6655110854348,422059.20000000007,0.02672616298184068
PTGX,47.03,279.6749374287109,118175.696,0.05316337668425295
HYRE,16.55,278.95780865711936,81761.55679999998,0.018681783565310334
NUE,94.33,276.3787595709876,1462201.4784000001,0.05109615862821556
VSTM,3.31,274.29669046391854,35375.274000000005,0.036155706895245
