Ticker,Name,Weight,Shares,Price
CATB UQ Equity,Catabasis Pharmaceuticals Inc,--,--,2.15
BEN UN Equity,Franklin Resources Inc,--,--,33.18
HASI UN Equity,Hannon Armstrong Sustainable Infrastruct,--,--,57.26
FCX UN Equity,Freeport-McMoRan Inc,--,--,37.24
FENC UR Equity,Fennec Pharmaceuticals Inc,--,--,7.39
TGNA UN Equity,TEGNA Inc,--,--,18.87
GPS UN Equity,Gap Inc/The,--,--,33.99
VALU UR Equity,Value Line Inc,--,--,31.23
GD UN Equity,General Dynamics Corp,--,--,189.81
GIS UN Equity,General Mills Inc,--,--,59.63
CELH UR Equity,Celsius Holdings Inc,--,--,72.37
GPC UN Equity,Genuine Parts Co,--,--,127.65
GWW UN Equity,WW Grainger Inc,--,--,442.94
HAL UN Equity,Halliburton Co,--,--,23.94
HOG UN Equity,Harley-Davidson Inc,--,--,47.32
LHX UN Equity,L3Harris Technologies Inc,--,--,221.03
PEAK UN Equity,Healthpeak Properties Inc,--,--,33.99
HP UN Equity,Helmerich & Payne Inc,--,--,33.45
HSY UN Equity,Hershey Co/The,--,--,175.12
HRL UN Equity,Hormel Foods Corp,--,--,47.76
CNP UN Equity,CenterPoint Energy Inc,--,--,24.75
HUM UN Equity,Humana Inc,--,--,441.71
ITW UN Equity,Illinois Tool Works Inc,--,--,222.93
TT UN Equity,Trane Technologies PLC,--,--,180
IPG UN Equity,Interpublic Group of Cos Inc/The,--,--,32.71
IFF UN Equity,International Flavors & Fragrances Inc,--,--,148.96
J UN Equity,Jacobs Engineering Group Inc,--,--,136.84
CSTE UW Equity,Caesarstone Ltd,--,--,14.4
K UN Equity,Kellogg Co,--,--,63.93
KMB UN Equity,Kimberly-Clark Corp,--,--,133.07
KIM UN Equity,Kimco Realty Corp,--,--,21.08
KSS UN Equity,Kohl's Corp,--,--,57.2
KR UN Equity,Kroger Co/The,--,--,39.21
LEG UN Equity,Leggett & Platt Inc,--,--,51.96
LEN UN Equity,Lennar Corp,--,--,97.09
JEF UN Equity,Jefferies Financial Group Inc,--,--,32.23
GRC UN Equity,Gorman-Rupp Co/The,--,--,34.09
LLY UN Equity,Eli Lilly & Co,--,--,230.22
MCFT UQ Equity,MasterCraft Boat Holdings Inc,--,--,25.98
LB UN Equity,L Brands Inc,--,--,72.27
LNC UN Equity,Lincoln National Corp,--,--,65.58
L UN Equity,Loews Corp,--,--,55.62
LOW UN Equity,Lowe's Cos Inc,--,--,192.66
ORCL UN Equity,Oracle Corp,--,--,78.46
MAXR UN Equity,Maxar Technologies Inc,--,--,41.21
MMC UN Equity,Marsh & McLennan Cos Inc,--,--,139.7
MAS UN Equity,Masco Corp,--,--,57.98
MAT UW Equity,Mattel Inc,--,--,19.71
SELB UQ Equity,Selecta Biosciences Inc,--,--,4.62
RDVT UR Equity,Red Violet Inc,--,--,22.29
SPGI UN Equity,S&P Global Inc,--,--,412.36
MDT UN Equity,Medtronic PLC,--,--,124.93
CVS UN Equity,CVS Health Corp,--,--,84.08
MU UW Equity,Micron Technology Inc,--,--,82.03
MSI UN Equity,Motorola Solutions Inc,--,--,215.62
MUR UN Equity,Murphy Oil Corp,--,--,25.29
LH UN Equity,Laboratory Corp of America Holdings,--,--,267.24
THC UN Equity,Tenet Healthcare Corp,--,--,69.94
NEM UN Equity,Newmont Corp,--,--,62.68
BFST UW Equity,Business First Bancshares Inc,--,--,23.69
NKE UN Equity,NIKE Inc,--,--,154.35
NI UN Equity,NiSource Inc,--,--,25.1
NSC UN Equity,Norfolk Southern Corp,--,--,265.85
ES UN Equity,Eversource Energy,--,--,80.29
NOC UN Equity,Northrop Grumman Corp,--,--,373.31
WFC UN Equity,Wells Fargo & Co,--,--,46.38
AAIC UN Equity,Arlington Asset Investment Corp,--,--,4
HPE UN Equity,Hewlett Packard Enterprise Co,--,--,14.74
NUE UN Equity,Nucor Corp,--,--,96.69
OXY UN Equity,Occidental Petroleum Corp,--,--,32.91
OMC UN Equity,Omnicom Group Inc,--,--,80.24
OKE UN Equity,ONEOK Inc,--,--,56.55
QGEN UN Equity,QIAGEN NV,--,--,48.55
PCG UN Equity,PG&E Corp,--,--,10.17
PH UN Equity,Parker-Hannifin Corp,--,--,301.74
PPL UN Equity,PPL Corp,--,--,28.3
RLMD UW Equity,Relmada Therapeutics Inc,--,--,34.35
COP UN Equity,ConocoPhillips,--,--,61.31
PHM UN Equity,PulteGroup Inc,--,--,53.61
PNW UN Equity,Pinnacle West Capital Corp,--,--,82.63
PBI UN Equity,Pitney Bowes Inc,--,--,9
QTWO UN Equity,Q2 Holdings Inc,--,--,105.75
XBIT UW Equity,XBiotech Inc,--,--,17.13
PNC UN Equity,PNC Financial Services Group Inc/The,--,--,193.36
AKBA UQ Equity,Akebia Therapeutics Inc,--,--,4.2
CDTX UQ Equity,Cidara Therapeutics Inc,--,--,1.99
PPG UN Equity,PPG Industries Inc,--,--,167.21
BKR UN Equity,Baker Hughes Co,--,--,23.55
PGR UN Equity,Progressive Corp/The,--,--,96.85
PEG UN Equity,Public Service Enterprise Group Inc,--,--,59.86
RHI UN Equity,Robert Half International Inc,--,--,89.69
ALTR UW Equity,Altair Engineering Inc,--,--,69.57
R UN Equity,Ryder System Inc,--,--,75.26
EIX UN Equity,Edison International,--,--,57
SLB UN Equity,Schlumberger NV,--,--,33.35
SCHW UN Equity,Charles Schwab Corp/The,--,--,73.78
SHW UN Equity,Sherwin-Williams Co/The,--,--,273.99
SJM UN Equity,J M Smucker Co/The,--,--,129.42
SNA UN Equity,Snap-on Inc,--,--,221.82
SO UN Equity,Southern Co/The,--,--,61.53
TFC UN Equity,Truist Financial Corp,--,--,56.13
LUV UN Equity,Southwest Airlines Co,--,--,54.55
OM UW Equity,Outset Medical Inc,--,--,50.99
SWN UN Equity,Southwestern Energy Co,--,--,5.63
SWK UN Equity,Stanley Black & Decker Inc,--,--,204.82
WRB UN Equity,W R Berkley Corp,--,--,74.69
PSA UN Equity,Public Storage,--,--,304.75
GH UW Equity,Guardant Health Inc,--,--,123.23
SYY UN Equity,Sysco Corp,--,--,77.04
TXN UW Equity,Texas Instruments Inc,--,--,188.17
TXT UN Equity,Textron Inc,--,--,67.19
TMO UN Equity,Thermo Fisher Scientific Inc,--,--,492.87
KOD UQ Equity,Kodiak Sciences Inc,--,--,90.2
TJX UN Equity,TJX Cos Inc/The,--,--,67.53
GL UN Equity,Globe Life Inc,--,--,98.02
JCI UN Equity,Johnson Controls International plc,--,--,67.09
UNP UN Equity,Union Pacific Corp,--,--,221.27
UNH UN Equity,UnitedHealth Group Inc,--,--,404.95
UNM UN Equity,Unum Group,--,--,29.33
MRO UN Equity,Marathon Oil Corp,--,--,14.07
X UN Equity,United States Steel Corp,--,--,23.64
VTR UN Equity,Ventas Inc,--,--,58.31
VFC UN Equity,VF Corp,--,--,82.88
VNO UN Equity,Vornado Realty Trust,--,--,48.28
VMC UN Equity,Vulcan Materials Co,--,--,177.61
AMRC UN Equity,Ameresco Inc,--,--,62.9
WRAP UR Equity,Wrap Technologies Inc,--,--,8.31
GHC UN Equity,Graham Holdings Co,--,--,629.71
WY UN Equity,Weyerhaeuser Co,--,--,34.29
WHR UN Equity,Whirlpool Corp,--,--,216.07
WMB UN Equity,Williams Cos Inc/The,--,--,26.78
ITOS UQ Equity,iTeos Therapeutics Inc,--,--,25.46
INZY UW Equity,Inozyme Pharma Inc,--,--,16.95
WEC UN Equity,WEC Energy Group Inc,--,--,90.1
NRIX UQ Equity,Nurix Therapeutics Inc,--,--,29.51
ANNX UW Equity,Annexon Inc,--,--,23.94
ADBE UW Equity,Adobe Inc,--,--,579.66
AES UN Equity,AES Corp/The,--,--,26.22
AMGN UW Equity,Amgen Inc,--,--,242.68
AAPL UW Equity,Apple Inc,--,--,133.11
