Ticker,Entry DT,Exit DT,Entry Price,Exit Price,Amount,PNL,Trade %,MV %,diff_score,diff_score_dev,cap,cap_dev,vola,vola_dev,inv_vola,inv_vola_norm
HAND,2002-07-01,2002-07-02,2.14072,1.8136157199842495,-233644,76425.9524,15.280105759545872,7.6425952399999995,0.22988505747126445,4.7469695774339264,9928769.0,-0.2780389445140639,0.08400459869630285,,11.904110197767201,1.0
ALKS,2002-07-01,2002-07-02,5.1653,4.0269200000000005,97087,-110521.89905999997,-22.0389909588988,-11.052189905999997,-0.6783260462211118,-11.982093557621727,216276354.0,0.20130380108154536,0.15630672825698652,,6.397677253891996,1.0
INFA,2002-07-02,2002-07-03,7.37024,7.585124718826406,-65440,-14062.056000000011,-2.9155728826524783,-1.4558439786410278,0.18459069020866764,4.972970292234198,66967235.0,-0.14756881916776327,0.07308058157954496,,13.683525478126423,1.0
SCRX,2002-07-02,2002-07-03,3.5220199999999995,4.72552,137593,165593.17550000013,34.170731568815654,17.14385346322913,-0.8076322322881899,-17.810252890217466,102809620.77000001,-0.06514452570963325,0.18584224189331927,,5.380907966952095,1.0
SCRX,2002-07-03,2002-07-05,4.73552,5.020011516220985,-117872,-33533.58399999996,-6.007608799476828,-3.000942230480646,0.35042735042735057,8.380418297915636,118138086.77,-0.016380279454261588,0.20565690921952468,,4.8624673189684495,1.0
GEC,2002-07-03,2002-07-05,71.4421892,69.3682754,7836,-16251.188536799998,-2.902925880664362,-1.4543294261533795,-0.5708156625019188,-13.346786352730152,123813005.40450001,-0.0023026699711256194,0.14035057980084342,,7.125015097329798,1.0
PRGNQ,2002-07-05,2002-07-08,0.63374,0.5611188198375862,-847341,61534.90341999988,11.45914415413479,5.76358173073552,0.575,14.506615564200024,9319773.0,-0.2850297476893531,0.21074414018642906,,4.745090416821921,1.0
JDAS,2002-07-05,2002-07-08,15.035,15.463999999999999,35588,15267.251999999946,2.853342201529754,1.429986069940519,-0.4444444444444444,-12.60653845196012,323332417.0,0.614898063490153,0.11545050085468124,,8.661720759953312,1.0
LVLT,2002-07-08,2002-07-09,65.27420000000001,66.88338570122299,-8749,-14078.765699999885,-2.46527066011224,-1.2301746917855638,0.508650519031142,14.86460762223318,183012382.35,0.2771712077723952,0.13581778018749416,,7.362806243921207,1.0
MENT,2002-07-08,2002-07-09,10.26548,10.224499999999999,55881,-2290.003380000063,-0.39920198568407056,-0.20009596453327577,-0.2670007158196135,-7.190138871958432,117134209.0,0.07191667057056819,0.06547146298731601,,15.273830068433526,1.0
