ticker
thrm
aub
pjt
tfsl
bcbp
gty
amsf
spok
fss
brkl
loco
utl
vsec
nbtb
cbz
trs
ltc
alg
myrg
sanm
odt
stba
cmpr
slca
tbi
whg
opi
pzn
uve
ilpt
cnsl
ruth
mgrc
mnov
wnc
smmf
mbin
blx
fdp
cmre
uht
dspg
crai
matw
pgc
shen
tcbk
ibcp
whd
acnb
ocfc
krny
sri
indb
agrx
wneb
gwb
trtx
aaic
mofg
srev
ain
wsbf
forr
pipr
tsbk
tbnk
ocx
sfst
hubg
npk
ois
wre
dhil
aroc
pfis
cpf
grc
arcb
wsbc
lkfn
trmk
hfwa
cars
cffn
ebtc
dx
frme
hbnc
cbtx
pfc
fgbi
cubi
buse
frta
htbi
seb
prk
dco
fmbh
aat
hri
bhe
hurn
amal
bfin
nxgn
fisi
fibk
drq
aten
hwkn
gabc
cmo
bsig
mrc
echo
valu
hbcp
res
msex
kra
sbcf
atni
htlf
essa
akr
tdw
nrim
jout
thff
ivac
pkbk
acco
dgica
prov
pfbi
clbk
qcrh
inva
cvco
wtba
mrln
fnwb
bzh
gcbc
ht
uslm
hsii
nwbi
pqg
fmnb
cry
sasr
tbbk
wrld
wetf
utmd
tnc
ffic
good
hstm
flic
bwfg
hafc
hope
mtx
fwrd
tcfc
fcf
hmst
fele
irt
